"id","nazwa","facebook_id","isPublic"
"286","S-kart - Tor Kartingowy","349723235226888","0"
"287","Kronika","349761661748564","0"
"288","Filmoteka Śląska","351197585072072","1"
"289","Jarmark Na Nikiszu","355737044507523","0"
"290","Art Naif Festiwal","356152121072022","0"
"291","TEDxKatowice","356852341060122","0"
"292","Instytut Pamięci Narodowej w Katowicach","358546827540379","1"
"293","Stand-Up Festiwal","363903191724","0"
"294","Albo i Nie","364926536865757","0"
"295","Inqubator Teatralny","365003400239740","0"
"296","Galeria Pojedyncza","366205610067165","0"
"297","Izabela Dariusz Gawron","367910460230373","0"
"298","B.D.C Booking","371005593086804","0"
"299","Festiwal Katowice Kultura Natura Duchowość","378017875722838","0"
"300","Dział Nauczania Asp Katowice","379827595558200","1"
"301","Medialab Katowice","379985438715032","1"
"302","Pogoria IV - Plaża Wojkowice Kościelne","381618942023253","0"
"303","Centrum Artystyczne - Flow Art","382088088657172","0"
"304","PySilesia","382306908510219","0"
"305","Katarzyna Jeżowska","385348475153318","0"
"306","Filia 20 Miejskiej Biblioteki Publicznej w Katowicach","385723818226245","1"
"307","Katowicka Kuchnia Społeczna","390103247770142","0"
"308","Centrum Organizacji Pozarządowych - Katowice","391614987537893","0"
"309","Galeria Sztuki FOX / Fox Art Gallery","391653030892074","0"
"310","Teatr Gliwicka 9a","393441677429187","0"
"311","Puste Katowice","401661469907653","0"
"312","Katowicka Moderna | Katowice Modernist Architecture 1927—39","401939683159064","0"
"313","Studio Choreografii I Teatru Tańca Movement","404108926466101","0"
"314","Dagma Art","415861408507041","0"
"315","BAZAR","415942975140658","0"
"316","Informatyka i Zdrowie","419522074750315","0"
"317","JaZZ i okolice / jaZZ & Beyond improvised music festival","419954268015461","0"
"318","Żywa Biblioteka / Human Library Katowice","423930974461674","0"
"319","Miejska Biblioteka Publiczna w Katowicach - Filia 26 Murcki","426221387451903","1"
"320","Galerie Pałacu Młodzieży w Katowicach","430125247161543","1"
"321","Good Taste Production","430811543600691","0"
"322","Katowice ngo: Dni Organizacji Pozarządowych","430989916952661","0"
"323","City by bike - Nextbike Polska","431263070300480","0"
"324","Galeria Sztuki \"Fra Angelico\" / Muzeum Archidiecezjalne w Katowicach","436958763029122","0"
"325","Fonografika Young Stage","438399732845339","0"
"326","Zabawa taneczna","446476418888986","0"
"327","Curatorial Meetings","454561058016490","0"
"328","4 Design Days","454689974716093","0"
"329","Pałac Schoena - Muzeum w Sosnowcu","458609627490170","0"
"330","MALARSTWO - ASP KATOWICE PAINTING - ACADEMY OF FINE ARTS KATOWICE","459134480771462","1"
"331","Linoryjki","460593114121034","0"
"332","Nyskie Warsztaty Gospel","461149987429036","0"
"333","Fundacja Kapitan Światełko","469643823141213","0"
"334","Geszeft","477109168980688","0"
"335","Muzyka Nieheteronormatywna","485065731635876","0"
"336","Project: People","495521387273960","0"
"337","Aleksander Żywiecki","505306506205805","0"
"338","Planet Cinema Katowice","515272825253805","0"
"339","Pożar w Burdelu - Rockopera Narodowa","520800628125759","0"
"340","Pubquiz Katowice - Zbierz drużynę i wygrywaj nagrody","521158744628127","0"
"341","The Dumplings","522576371123622","0"
"342","Kopernika 11 Muzeum Historii Katowic","526634917360799","1"
"343","GOPgear","529455083914042","0"
"344","Dolina Trzech Stawów - Muchowiec Katowice","536905763044408","0"
"345","Koduj dla Polski","537482459663806","0"
"346","SUDEO","539007366132280","0"
"347","Koalicja Miast dla Kultury","552125924956383","0"
"348","Ogród Społeczny na Warszawskiej","553274894854498","0"
"349","Modernizm Katowic","567308823374905","0"
